index,time(ms),size,distance,d/s,log(d/s+1)
1,785,317.6,521.12,1.6,1.4
2,681,238.2,224.02,0.9,0.96
3,786,158.8,419.91,2.6,1.87
4,738,238.2,27.64,0.1,0.16
5,939,158.8,675.64,4.3,2.39
6,1271,238.2,711.44,3,2
7,926,79.4,290.64,3.7,2.22
8,927,79.4,366.9,4.6,2.49
9,861,238.2,624.8,2.6,1.86
10,892,158.8,353.34,2.2,1.69
11,1151,238.2,561.36,2.4,1.75
12,723,317.6,258.15,0.8,0.86
13,1508,158.8,638.54,4,2.33
14,828,158.8,292.86,1.8,1.51
15,836,79.4,523.99,6.6,2.93
16,1107,79.4,499.76,6.3,2.87
17,885,79.4,202.24,2.5,1.83
18,968,158.8,865.52,5.5,2.69
19,912,238.2,610.07,2.6,1.83
20,752,317.6,229.28,0.7,0.78
21,905,238.2,754.79,3.2,2.06
22,1221,79.4,1004.99,12.7,3.77
23,842,79.4,831.1,10.5,3.52
24,949,158.8,470.42,3,1.99
25,992,79.4,582.44,7.3,3.06
26,1663,79.4,556.7,7,3
27,821,238.2,739.67,3.1,2.04
28,1187,79.4,423.54,5.3,2.66
29,787,238.2,438.37,1.8,1.51
30,674,238.2,459.57,1.9,1.55
